sofifa_id;long_name;player_positions;overall;potential;age;height_cm;club_name;league_name;league_level;nationality_name;preferred_foot;short_name
158023;Lionel Andres Messi Cuccittini;RW, ST, CF;93;93;34;170;Paris Saint-Germain;French Ligue 1;1;Argentina;Left;L. Messi
188545;Robert Lewandowski;ST;92;92;32;185;FC Bayern Munchen;German 1. Bundesliga;1;Poland;Right;R. Lewandowski
20801;Cristiano Ronaldo dos Santos Aveiro;ST, LW;91;91;36;187;Manchester United;English Premier League;1;Portugal;Right;Cristiano Ronaldo
190871;Neymar da Silva Santos Junior;LW, CAM;91;91;29;175;Paris Saint-Germain;French Ligue 1;1;Brazil;Right;Neymar Jr
192985;Kevin De Bruyne;CM, CAM;91;91;30;181;Manchester City;English Premier League;1;Belgium;Right;K. De Bruyne
200389;Jan Oblak;GK;91;93;28;188;Atletico de Madrid;Spain Primera Division;1;Slovenia;Right;J. Oblak
231747;Kylian Mbappe Lottin;ST, LW;91;95;22;182;Paris Saint-Germain;French Ligue 1;1;France;Right;K. Mbappe
167495;Manuel Peter Neuer;GK;90;90;35;193;FC Bayern Munchen;German 1. Bundesliga;1;Germany;Right;M. Neuer
192448;Marc-Andre ter Stegen;GK;90;92;29;187;FC Barcelona;Spain Primera Division;1;Germany;Right;M. ter Stegen
202126;Harry Kane;ST;90;90;27;188;Tottenham Hotspur;English Premier League;1;England;Right;H. Kane
215914;N'Golo Kante;CDM, CM;90;90;30;168;Chelsea;English Premier League;1;France;Right;N. Kante
165153;Karim Benzema;CF, ST;89;89;33;185;Real Madrid CF;Spain Primera Division;1;France;Right;K. Benzema
192119;Thibaut Courtois;GK;89;91;29;199;Real Madrid CF;Spain Primera Division;1;Belgium;Left;T. Courtois
200104;Heung-min Son;LM, CF, LW;89;89;28;183;Tottenham Hotspur;English Premier League;1;Korea Republic;Right;H. Son
200145;Carlos Henrique Venancio Casimiro;CDM;89;89;29;185;Real Madrid CF;Spain Primera Division;1;Brazil;Right;Casemiro
