ID;GRADO;UNIVERSIDAD;ABREVIATURA;NOTA DE CORTE;PLAZAS
1;Grado en Diseño Arquitectónico de Interiores;Universitat Politècnica de València (Campus de Alcoy);UPV;8,74;250
2;Grado en Bellas Artes;Universitat Politècnica de València (Campus de Vera);UPV;10,58;340
3;Grado en Tecnologías Interactivas;Universitat Politècnica de València (Campus de Vera);UPV;7,37;55
4;Doble grado en Ingeniería Forestal y del Medio Natural + Ciencias Ambientales;Universitat Politècnica de València (Campus de Valencia);UPV;11,63;10
5;Doble grado en Ingeniería Forestal y del Medio Natural + Ciencias Ambientales;Universitat Politècnica de València (Campus de Gandia);UPV;8,74;5
6;Grado en Ingeniería Forestal y del Medio Natural;Universitat Politècnica de València (Campus de Vera);UPV;7,39;75
7;Grado en Ingeniería Informática;Universitat Politècnica de València (Campus de Alcoy);UPV;9,31;75
8;Grado en Ingeniería Informática;Universitat Politècnica de València (Campus de Vera);UPV;10,47;400
9;Grado en Ingeniería Eléctrica;Universitat Politècnica de València (Campus de Alcoy);UPV;5,45;65
10;Grado en Ingeniería Eléctrica;Universitat Politècnica de València (Campus de Vera);UPV;10,12;75
11;Doble grado en Matemáticas + Ingeniería de Tecnologías y Servicios de Telecomunicación;Universitat Politècnica de València (Campus de Vera);UPV;12,93;15
12;Doble grado en Matemáticas + Ingeniería Civil;Universitat Politècnica de València (Campus de Alcoy);UPV;12,68;15
13;Grado en Tecnología Digital y Multimedia;Universitat Politècnica de València (Campus de Vera);UPV;9,77;75
14;Doble grado en Ingeniería Agroalimentaria y del Medio Rural + Ciencia y Tecnología de los Alimentos;Universitat Politècnica de València (Campus de Alcoy);UPV;11,2;15
15;Grado en Ciencia de Datos;Universitat Politècnica de València (Campus de Vera);UPV;12,12;120
16;Grado en Ingeniería Electrónica Industrial y Automática;Universitat Politècnica de València (Campus de Vera);UPV;10,52;150
17;Grado en Turismo;Universitat Politècnica de València (Campus de Alcoy);UPV;5,13;50
18;Grado en Comunicación Audiovisual;Universitat Politècnica de València (Campus de Vera);UPV;10,86;75
19;Grado en Ingeniería Agroalimentaria y del Medio Rural;Universitat Politècnica de València (Campus de Vera);UPV;8,05;125
20;Doble grado en Administración y Dirección de Empresas + Ingeniería de Tecnologías y Servicios de Telecomunicación;Universitat Politècnica de València (Campus de Vera);UPV;10,73;40
21;Grado en Ingeniería Física;Universitat Politècnica de València (Campus de Vera);UPV;12,41;75
22;Grado en Ingeniería Mecánica;Universitat Politècnica de València (Campus de Gandia);UPV;7,98;110
23;Grado en Ingeniería Mecánica;Universitat Politècnica de València (Campus de Vera);UPV;11,67;150
